Price,Volume,Side
86791.888360,0.000000,offer
86798.624860,0.031629,offer
86800.391320,2.874411,offer
86806.728620,0.000000,offer
86822.267480,0.000000,offer
86824.093820,0.000000,offer
86827.646700,0.639929,offer
86829.223540,0.397675,offer
86739.812720,0.030000,bid
86738.734880,0.079645,bid
86733.595180,0.002618,bid
86733.585200,0.003491,bid
86733.575220,0.000723,bid
86733.565240,0.000000,bid
86733.535300,0.047787,bid
86729.134120,0.003453,bid
86729.124140,0.000000,bid
86728.435520,0.000000,bid
86728.315760,0.047787,bid
86728.305780,0.079675,bid
86724.513380,0.000119,bid
86724.503400,0.115077,bid
86724.044320,0.000000,bid
86724.034340,0.000000,bid
86723.425560,0.000000,bid
86719.214000,0.000000,bid
86711.329800,0.160790,bid
86709.094280,0.030979,bid
86707.946580,0.000000,bid
86707.936600,0.000000,bid
86706.978520,0.037362,bid
86706.828820,0.000000,bid
86705.242000,0.005754,bid
86694.493540,0.000000,bid
86691.509520,0.005754,bid
86679.872840,0.143827,bid
86667.327980,0.000000,bid
86660.731200,0.000000,bid
86647.866980,0.040273,bid
86628.924940,0.088603,bid
86626.409980,0.000000,bid
86623.735340,0.092054,bid
86536.779600,0.000000,bid
86249.565180,0.050000,bid
86181.551480,0.002877,bid
86739.822700,0.000000,offer
86740.142060,0.000000,offer
86742.068200,0.000000,offer
86742.148040,0.000000,offer
86744.822680,0.000000,offer
86745.591140,0.095000,offer
86748.674960,0.000000,offer
86748.904500,0.000000,offer
86752.467360,0.033328,offer
86754.633020,0.000000,offer
86754.643000,0.000000,offer
86754.652980,0.000000,offer
86759.633000,0.009994,offer
86759.642980,0.000000,offer
86759.862540,0.582140,offer
86760.750760,0.000000,offer
86764.263720,0.000000,offer
86768.425380,0.040273,offer
86768.435360,0.000000,offer
86772.686840,0.000000,offer
86772.796620,0.023632,offer
86777.756680,0.000166,offer
86787.437280,0.000000,offer
86787.447260,0.000000,offer
86790.022100,2.874754,offer
86798.624860,0.000000,offer
86800.391320,0.000000,offer
86809.882300,0.031629,offer
86817.137760,0.000000,offer
86821.000020,0.042488,offer
86825.990020,0.092054,offer
86741.489360,0.029430,bid
86739.812720,0.000000,bid
86733.605160,0.000119,bid
86732.806760,0.118100,bid
86729.134120,0.000000,bid
86728.435520,0.000000,bid
86727.487420,0.115073,bid
86725.162080,0.000000,bid
86725.152100,0.522713,bid
86724.513380,0.000000,bid
86724.503400,0.000000,bid
86723.435540,0.000000,bid
86722.836740,0.010507,bid
86709.034400,0.120000,bid
86707.926620,0.000000,bid
86707.756960,0.140000,bid
86684.703160,0.817626,bid
86683.854860,0.363330,bid
86682.437700,0.555082,bid
86667.826980,0.000000,bid
86665.711220,0.000000,bid
86665.272100,0.000000,bid
86649.952800,1.217757,bid
86638.156440,0.227918,bid
86637.427900,0.000000,bid
86633.805160,0.000000,bid
86633.795180,0.000000,bid
75882.231400,0.000000,bid
86745.591140,0.000000,offer
86746.579160,0.319200,offer
86746.589140,0.000000,offer
86747.497320,0.095000,offer
86749.832640,0.048276,offer
86749.842620,0.080000,offer
86752.457380,0.163500,offer
86753.854580,0.140000,offer
86755.960360,0.000000,offer
86759.842580,0.079645,offer
86759.852560,0.363414,offer
86762.058140,0.000000,offer
86762.157940,0.000000,offer
86782.008160,0.000000,offer
86782.018140,0.379059,offer
86798.724660,0.280520,offer
86827.646700,0.000000,offer
86828.225540,3.863183,offer
86828.235520,5.746979,offer
86829.223540,0.000000,offer
86844.063800,0.639808,offer
86845.530860,0.397600,offer
86741.489360,0.029460,bid
86738.734880,0.000000,bid
86733.615140,0.000000,bid
86733.605160,0.000119,bid
86732.816740,0.003453,bid
86728.435520,0.004061,bid
86728.305780,0.079645,bid
86724.034340,0.000000,bid
86722.547320,0.081152,bid
86717.856720,0.000000,bid
86717.038360,0.207813,bid
86712.537380,0.034535,bid
86706.978520,0.000000,bid
86704.383720,0.000000,bid
86702.058380,0.000000,bid
86595.731460,0.000000,bid
86170.314000,0.050000,bid
86742.297740,0.020721,offer
86742.307720,0.034535,offer
86746.569180,0.000000,offer
86746.579160,0.000000,offer
86747.497320,0.000000,offer
86747.557200,0.000000,offer
86749.832640,0.000000,offer
86749.842620,0.000000,offer
86751.419460,0.057000,offer
86751.429440,0.095000,offer
86751.559180,0.036295,offer
86752.447400,0.006677,offer
86754.732820,0.040000,offer
86759.623020,0.000000,offer
86759.633000,0.000000,offer
86769.094040,0.233514,offer
86799.373360,0.426000,offer
86821.000020,0.000000,offer
86822.776460,0.000000,offer
86824.083840,0.042488,offer
86729.553280,0.028768,bid
86725.162080,0.228326,bid
86719.204020,0.000000,bid
86684.703160,0.000000,bid
86683.854860,0.000000,bid
86682.437700,0.000000,bid
86680.531520,0.817665,bid
86679.214160,0.363350,bid
86678.156280,0.555109,bid
86649.952800,0.000000,bid
86645.481760,1.217819,bid
86742.297740,0.000000,offer
